date,symbol,regime_type,regime_confidence,vol_state,vol_trend_state,dp_state,compression_flag,close,ret_fwd_1,ret_fwd_2,ret_fwd_5,is_favorable_slow
2024-04-09,SPY,FAILED_BREAKDOWN,70.0,unknown,rising,low,0,519.3200073242188,-0.010013117410638928,-0.0025417994793230925,-0.03040516121510406,0
2024-04-11,SPY,FAILED_BREAKDOWN,85.0,unknown,rising,low,0,518.0,-0.013803077020240084,-0.026158277592603807,-0.03567569688480332,0
2024-05-31,SPY,FAILED_BREAKDOWN,85.0,low,falling,low,0,527.3699951171875,0.0008153529396106585,0.0019341629988323117,0.012590808559296285,0
2024-09-11,SPY,FAILED_BREAKDOWN,85.0,mid,falling,low,0,554.4199829101562,0.008423296578884854,0.013690031184714124,0.012589808663223012,0
2024-10-01,SPY,FAILED_BREAKDOWN,60.0,mid,falling,low,0,568.6199951171875,0.00042205732551758857,-0.0014068935314240916,0.008001807590376941,0
2024-12-19,SPY,FAILED_BREAKDOWN,60.0,mid,rising,high,0,586.0999755859375,0.008616360754965635,0.014656248444441689,0.015202242878068706,0
2024-12-20,SPY,FAILED_BREAKDOWN,85.0,mid,rising,high,0,591.1500244140625,0.005988290418921238,0.017169860373374313,-0.0049565314893486034,0
2025-01-02,SPY,FAILED_BREAKDOWN,60.0,mid,rising,low,0,584.6400146484375,0.012503416419400448,0.01833601948982455,-0.007098426912427569,0
2025-02-28,SPY,FAILED_BREAKDOWN,85.0,mid,rising,low,0,594.1799926757812,-0.017519898469909534,-0.029149428687797574,-0.03073144500102465,0
2025-03-03,SPY,FAILED_BREAKDOWN,75.0,mid,rising,normal,0,583.77001953125,-0.011836911709231068,-0.0012162700188447229,-0.039724551904921634,0
2025-03-31,SPY,FAILED_BREAKDOWN,85.0,high,rising,high,0,559.3900146484375,0.0028244266313557365,0.009170712291024063,-0.09833927729331637,0
2025-06-23,SPY,FAILED_BREAKDOWN,70.0,mid,falling,low,0,600.1500244140625,0.011047245877038092,0.011613713937494108,0.02949254428366599,0
2025-07-16,SPY,FAILED_BREAKDOWN,70.0,low,falling,low,0,624.219970703125,0.006119649327969823,0.00538279219572857,0.016004055843132248,0
2025-07-30,SPY,FAILED_BREAKDOWN,60.0,low,falling,low,0,634.4600219726562,-0.003751229077306739,-0.020080148202120007,-0.0026479094310116746,0
2025-07-31,SPY,FAILED_BREAKDOWN,75.0,low,falling,low,0,632.0800170898438,-0.01639040328219421,-0.0014397452143438683,0.00026892625231034195,0
2025-09-05,SPY,FAILED_BREAKDOWN,85.0,low,falling,low,0,647.239990234375,0.002456626412859597,0.004774159356794039,0.015712846955691973,0
2025-10-14,SPY,FAILED_BREAKDOWN,85.0,mid,rising,normal,0,662.22998046875,0.00443954899070742,-0.0024009269697923274,0.013681044087102023,0
2025-10-16,SPY,FAILED_BREAKDOWN,60.0,mid,rising,normal,0,660.6400146484375,0.0056763137515907225,0.016135827240504108,0.016832154987016734,0
2025-11-07,SPY,FAILED_BREAKDOWN,70.0,mid,falling,high,0,670.969970703125,0.01560432239211762,0.017929311030519646,0.0014307972257687762,1
2025-11-14,SPY,FAILED_BREAKDOWN,75.0,mid,falling,low,0,671.9299926757812,-0.009316461288915168,-0.017635729488347685,-0.019198374115636074,0
2025-11-17,SPY,FAILED_BREAKDOWN,70.0,mid,falling,high,0,665.6699829101562,-0.008397503213040225,-0.004566794515885597,0.004596868774548124,1
2025-11-21,SPY,FAILED_BREAKDOWN,70.0,mid,rising,high,0,659.030029296875,0.014718526835907575,0.024262915987963263,0.032229169066902985,0
2026-01-29,SPY,FAILED_BREAKDOWN,75.0,mid,rising,low,0,694.0399780273438,-0.002982547677011782,0.0019739426554092887,,0
